Найден на шаге: 993	Энергетическая функция: 0.7817
(354, 455, 870)	(69, 57, 111)	ZXY
(910, 207, 848)	(69, 64, 97)	XZY
(927, 925, 207)	(64, 64, 104)	XYZ
(-1, -1, -1)	(67, 68, 91)	YXZ
(515, 449, 870)	(59, 59, 119)	YXZ
(-1, -1, -1)	(52, 150, 53)	XZY
(177, 669, 935)	(79, 58, 86)	XZY
(-1, -1, -1)	(79, 64, 74)	XZY
(-1, -1, -1)	(66, 99, 56)	ZYX
(-1, -1, -1)	(60, 94, 54)	ZYX
(0, 669, 850)	(54, 52, 103)	XYZ
(648, 539, 810)	(56, 75, 65)	XZY
